from,to,namespace,comment
Yossef Harmelin/Temp,Yossef Harmelin,1,Overwriting copyvio version.
Cosmic Ordering,Cosmic ordering,0,[[WP:CSD#G6|Housekeeping page move]]
RACE 07 - Official WTCC Game,Race 07 - Official WTCC Game,0,as per [[Wikipedia:Manual of Style (trademarks)]]
Harpreet Singh (weightlifter),Harpreet Singh,0,revert
Liz Sagal/Temp,Liz Sagal,1,"Overwriting copied version, no permission. See [[Wikipedia:Copyright problems/2008 September 3/Articles]]"
Jean Sagal/Temp,Jean Sagal,1,"Overwriting copied version, no permission. See [[Wikipedia:Copyright problems/2008 September 3/Articles]]"
El Escorial,El Escorial (municipality),0,
ME/CFS descriptions,Clinical descriptions of chronic fatigue syndrome,0,"Previous title was rather meaningless; MOS:NAME, WP:CFORK"
"William ""April"" Ellison",William Ellison,0,
Submission(Islam),Submission (Islam),0,need space
Kevin Riley (quarterback),Kevin Riley (American football),0,
Tsukuba International School/Temp,Tsukuba International School,1,Overwriting copyvio version with clean.
Bugaba,Bugaba District,0,
Big Bang,Big bang,0,history merge
Robert Flint,Robert Flint (theologian),0,To permit disambig
Don benton,Don Benton,0,proper capitalization
Evolver,Evolver (311 album),0,disambiguation page required
Seekers Quest Begins,The Quest Begins,0,requested at [[WP:RM]]
"Example of propaganda: “Welcome to Wikipedia, the free encyclopedia that anyone can edit.”",Propaganda,0,"Reverting possible vandalism by [[Special:Contributions/AyeSpy|AyeSpy]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (483409) (Bot)"
..һ..а..6..6..е..?,Hate,0,
The History of Advertising Trust,History of Advertising Trust,0,
Camp Child,Old Colony Council,0,per WP:Scouting MoS-smaller than council should be in no less than a council article
.ђа66ѐғ ?,Guitar,0,"Reverting possible vandalism by [[Special:Contributions/Lord Casus|Lord Casus]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (484377) (Bot)"
.ђ..а..6..6..ѐ..ғ?,Education,0,"Reverting possible vandalism by [[Special:Contributions/Lord Casus|Lord Casus]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (484388) (Bot)"
Love Songs (Mariah Carey album),The Ballads (Mariah Carey album),0,"According to Sony BMG, the name of the compilation is ""The Ballads""."
Insanity?,Anglophilia,0,"Reverting possible vandalism by [[Special:Contributions/Wiwayb|Wiwayb]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (484739) (Bot)"
Carmel McQueen,Carmel Valentine,0,the character married
List of Kansas City Chiefs quarterbacks,List of Kansas City Chiefs starting quarterbacks,0,"List includes starters by season, may move statistics and records as well (at a later date)"
List of governors of Alaska,List of Governors of Alaska,0,"rv; fits all other lists (see [[List of Presidents of the United States]]). If this were ""List of people that have been governors of Alaska"" then lower-case would be proper. But the position is Governor of Alaska, and this is their list."
Jack the Ripper royal conspiracy theories,Jack the Ripper conspiracy theories,0,Disambiguation unnecessary: should also cover masonic conspiracy theory
KWBF,KWBF (TV),0,Disambiguation with similarly-named radio station KWBF-FM
Variable rate mortgage,Variable-rate mortgage,0,
Military of Austria-Hungary,Military of Austria–Hungary,0,[[WP:DASH]]
Ђ..а..6..6..е..Ғ ?,Odyssey,0,"Reverting possible vandalism by [[Special:Contributions/Usedcarry|Usedcarry]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (486608) (Bot)"
",,а,,6,,6,,е,,?",2008 Summer Olympics medal count,0,Pagemove vandalism cleanup
"Њ, ,а, ,6, ,6, ,е, ,ӷ ?",Rock Band 2,0,"Reverting possible vandalism by [[Special:Contributions/Grolantor|Grolantor]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (486768) (Bot)"
H++E++R++M++I++E?,Rikku,0,"Reverting possible vandalism by [[Special:Contributions/Tarkomang|Tarkomang]] to older version. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (486900) (Bot)"
Windows Live OneCare Family Safety,Windows Live Family Safety,0,Official name change
Yuzo Matsuyama,Yuzō Matsuyama,0,macrons per WP:MOS-JA
KOF: Maximum Impact 2,The King of Fighters 2006,0,"Official English title
"
Carlsberg UK brewery,Tetley's Bitter,0,Histmerge from cut & paste move
Telegraph Peak,Telegraph Peak (California),0,multiple peaks by this name
Sniper (rapper),Snipe (rapper),0,The rapper's name is Snipe not Sniper
Basque Country (historical territory),Basque Country (greater region),0,Per talk page consensus.
Igor Yuryevich Nikolayev,Igor Nikolayev,0,
Nickelodeon's UK kids choice awards 2007,Nickelodeon's UK Kids Choice Awards 2007,0,The title is in lowercase text
San Miguel de Oviedo,"Oviedo, Pedernales",0,
Christmas Bullet,Cantilever Aero Bullet,0,
Lovebug (Jonas Brothers song),Lovebug (song),0,
Mickey Devine,Mickey Devine (baseball),0,deal with Michael Devines better
Hainanese (linguistics),Qiongwen,0,move per [[Wikipedia:Naming_conventions_(Chinese)#Language.2Fdialect_NPOV]]
Profit (disambiguation),Profit,0,Original page split up into two articles; no longer needed.
John Gombojab Hangin/Temp,John Gombojab Hangin,1,Copyvio free version.
Nagasaki,Nagasaki (disambiguation),0,"make way for direct link to Nagasaki,Nagasaki.
"
Akron-Canton Regional Airport,Akron-Canton Airport,0,
Institute of Engineering and Management (IEM),Institute of Engineering and Management,0,No need to include the abbreviated title of the institute in the webpage name.
History of the Yukon,History of Yukon,0,per [[Wikipedia:Canadian_Wikipedians%27_notice_board/Style_guide#Territories|CANSTYLE]]
WPTI,WRKA (FM),0,
John Bradbury (disambiguation),John Bradbury,0,unnecessary qualifier
Wahiba Sands - Oman,Wahiba Sands,0,article naming conventions
Jake Reed,Jake Reed (American football player),0,histmerge
Waldorf School of San Diego/Temp,Waldorf School of San Diego,1,Replacing copyvio version
"""University of Mindanao""",University of Mindanao,0,rm quotes in title
Lexus RX 400h,Lexus RX Hybrid,0,"""Lexus RX"" is the title of the article on the gas car, not ""Lexus RX 350."" Before it was the 350, it was the 330 and the 300. The next generation will not be the 400h but something else. Lexus official literature refers to the car as the RX Hybrid. Discus"
List of Blue Dragon video game characters,List of characters in the Blue Dragon series,0,characters from both the VG and anime should be in the same list
Dengue fever,Dengue,0,history merge
Indus Valley Civilisation,Indus Valley Civilization,0,revert
951 Gaspra,Gaspra,0,history merge
Road Transport,Road transport,0,revert
Probability and Statistics,Probability and statistics,0,back to correct title
Hyperreal numbers,Hyperreal number,0,revert
Surreal numbers,Surreal number,0,revert
Lummi Salish,Lummi language,0,"move per talk, as in other NWC langs"
Bist,Bist (village),0,
Taiwanese,Taiwanese (disambiguation),0,
2008 stabbings at Beijing Drum Tower,2008 attack at Beijing Drum Tower during Olympics,0,"if you want to discuss this, check your talk page, wwgb"
New marlins stadium,Marlins Stadium,0,Merge to correct cut-and-paste move that occurred as pages were deleted.
Democrazy,Democrazy (album),0,
Jennifer Rosanne States,Burial of Jennifer Rosanne States,0,better title
Koshi barrage,Koshi Barrage,0,proper capitalisation
"Ronald (R.) Brown (British, HDA mathematician)",Ronald Brown (mathematician),0,As per naming conventions
Lyfing,Lyfing (given name),0,"Given name page, not a Dab; make room for Dab"
Boleslaus I of Bohemia,"Boleslaus I, Duke of Bohemia",0,per naming conventions
Vratislaus II of Bohemia,"Vratislaus II, Duke of Bohemia",0,per naming conventions
Katrina (given name),Katrina (disambiguation),0,
Come Back To Me (V song),Come Back To Me (Vanessa Hudgens song),0,
Cefalù,Cefalu,0,history merge
Johanna of Austria,Archduchess Joanna of Austria (1547–1578),0,"She was neither empress consort nor queen consort, so Name of Place rule doesn't apply."
Great Yarmouth Pleasure Beach/Temp,Great Yarmouth Pleasure Beach,1,Overwriting copyvio version
"H,,,A,,,,E,,,R ?",Crazy Horse,0,
"H,,A,,E,,R?",John Wilkes Booth,0,Pagemove vandalism cleanup
My ċoċk is so massive that it bends space-time.,General relativity,0,Pagemove vandalism cleanup
"H,,E..R,,M..I,,E ?",Temperature,0,Pagemove vandalism cleanup
Tarictic Hornbill,Visayan Tarictic Hornbill,0,standard name when split
Mindoro Tarictic,Mindoro Tarictic Hornbill,0,per wikiproj. birds
Felix Potvin,Félix Potvin,0,redirect from title without diacritics
Patriarch of Jerusalem,Patriarch of Jerusalem (disambiguation),0,See notes on move of Greek Orthodox Patriarch of Jerusalem
Micheal Barrow,Michael Barrow,0,History merge
Wizards of High Sorcery,Mages of High Sorcery,0,"Magic users in Krynn are Mages, called Magus, not Wizards."
List of Registered Historic Places in Vermont,National Historic Places in Vermont,0,
David Viðarsson,Davíð Viðarsson,0,that's his name
Kyeemyintdine Township,Kyimyindaing Township,0,changing to a more common spelling
Hossein omoumi,Hossein Omoumi,0,corrected capitalization
"H,A,G,G,E,Ɍ?",Karma,0,Pagemove vandalism cleanup
Elizabeth Báthory,Countess Elizabeth Báthory,0,She is best known in English as Countess Elizabeth Báthory.
The Mole (TV series),The Mole,0,Original dab page has been moved
Canada-Caribbean relations,Canada–Caribbean relations,0,Fixed in title...
FC Gagra,FC Gagra Tbilisi,0,
"H B W W F R ? (with A taking the place of the B, Gs taking the place of the Ws, and E taking the place of the F)",Electra complex,0,revert
Machiavel (band),Machiavel,0,nothing else by this name
Latvijas Skautu un Gaidu Centrālā Organizācija,Latvian Scout and Guide Central Organisation,0,English version
"H B P P Z R ? (with A tåking the plåce of the B, Gs taking the plåce of the Ps, and E taking the place of the Z)",Human anus,0,revert
John Dore (Basketball),John Dore (basketball),0,
HAGG.Eɍ ?,West Nile virus,0,revert
ENQUIRE,Enquire,0,"Not an acronym, [[MOS:TM]], etc."
Whitesand Bay (Cornwall),"Whitesand Bay, Cornwall",0,
Dogs in Mesoamerican,Dogs in Mesoamerica,0,req
Kluger agency,Kluger Agency,0,"As 'Kluger Agency' is the name of the organisation to which this page relates, 'agency' should be capitalised.
As such I'm moving from 'Kluger agency' to 'Kluger Agency'."
Maria Romanova,Grand Duchess Maria of Russia,0,None of these people seem to be referred to as Maria Romanova.
Statues of Casimir the Great,Statutes of Casimir the Great,0,"""Statues""?  Shouldn't it be ""statutes""?"
I would like to see MOAR rule 34 on female Wikipedia administrators!,Rule 34,0,revert
Great game to play if you have a job at which you're lucky enough to get to sit at a computer all day.,Minesweeper (computer game),0,revert
Passed midshipman,Passed Midshipman,0,
Sailor (Song),Sailor (song),0,correct capitalisation
Westfield Westland Mall,Westfield Westland,0,"No ""mall"" in name"
I Am... (Beyoncé Knowles album),I Am… (Beyoncé album),0,"does not use ""Knowles"" in her stage name"
Azerbaijani language,Azeri language,0,not just Azerbaijani. half the population is in Iran.
South Azerbaijani language,South Azeri language,0,nationalist POV (not even Azerbaijani)
Govt. Pilot High School Sylhet,Sylhet Government Pilot High School,0,Move to actual school name
Horned King (Disney),Horned King (Prydain),0,The character existed prior to the Disney film
",,,H,,,,A,,,,Ġ,,,,Ġ,,,,E,,,,R?",Cyrus the Great,0,reverting pagemove vandalism
Now That's What I Call Music! 29 (U.S. Series),Now That's What I Call Music! 29 (U.S. series),0,captialization error
All Saints' Chapel,"All Saints' Chapel (Rosendale, New York)",0,make way for disambig
Slavija Istočno Sarajevo,FK Slavija,0,More accurate name.
Gorontalo Regency,Gorontalo (regency),0,histmerge
Devil Inside (Utada Hikaru song),Devil Inside (Hikaru Utada song),0,
Lenny Williams (football player),Lenny Williams (Canadian football),0,
Moplah Rebellion,Moplah Riots,0,per citations
Fashion Pixiez (album),Fashion Pixiez,0,
Gauss's law,Gauss law,0,undo renaming that changes possessive style
Smile/Island Jam,Smile (single),0,
"University House, Australian National University/Temp","University House, Australian National University",1,overwriting copyvio version
Joe Greene,Joseph Greene (disambiguation),0,covers all
Monica of Hippo,Monica (Christian saint),0,"""of Hippo"" is likely a mistake"
Türkiye Kupası 2008-09,Türkiye Kupası 2008–09,0,per [[WP:MoS]] regarding time ranges (dash instead of hyphen)
List of counties in Mississippi,Mississippi counties,0,history merge
Pollution in eloor,Pollution in India,0,should have an article for the whole country before having one for part of it.
Ofudesaki,Ofudesaki (Tenrikyo),0,"disambig, please change all pages"
Figure-of-eight knot,Figure-eight knot (ropes),0,"The ""of"" seems to be archaic, and is a confusing way to Dab. Comment is also invited on talk page re whether to make this the primary topic, at [[Figure-eight knot]]"
A.S. San Felice Aversa Normanna,S.F. Aversa Normanna,0,http://www.lega-calcio-serie-c.it/it/squadre/aversanormanna.htm
Alvarez machain,Humberto Álvarez Machaín,0,full name
Serial (film),Serial film,0,I'm standardizing the film genre pages.
Grønland,Grønland (Street),0,"Grønland is the nordic name for Greenland. This article is about a street in Oslo, Norway."
Nya Gamla Ullevi,Gamla Ullevi (2008),0,"name decided, disambig"
Bandari FC,Bandari F.C. (Tanzanian football club),0,move for DAB
